0,1,2,3,4,5,6,7,8,9,10,11
2026/02/22,17:20,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,17:30,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,17:40,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,17:50,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,18:00,0.0,-,63126,,0.0,,14.66,,34.0,
2026/02/22,18:10,0.0,-,63126,,0.0,,18.22,,34.0,
2026/02/22,18:20,0.0,-,63126,,0.0,,17.96,,34.0,
2026/02/22,18:30,0.0,-,63126,,0.0,,17.98,,34.0,
2026/02/22,18:40,0.0,-,63126,,0.0,,18.03,,34.0,
2026/02/22,18:50,0.0,-,63101,,1.57,,18.0,,34.0,
2026/02/22,19:00,0.0,-,63101,,1.57,,18.02,,34.0,
2026/02/22,19:10,0.0,-,63101,,1.57,,17.86,,34.0,
2026/02/22,19:20,0.0,-,63076,,2.0,,18.19,,34.0,
2026/02/22,19:30,0.0,-,63051,,0.0,,18.08,,34.0,
2026/02/22,19:40,0.0,-,63051,,0.0,,17.86,,34.0,
2026/02/22,19:50,0.0,-,63026,,2.63,,17.87,,34.0,
2026/02/22,20:00,0.0,-,63026,,2.63,,17.97,,34.0,
2026/02/22,20:10,0.0,-,63026,,2.63,,18.06,,34.0,
2026/02/22,20:20,0.0,-,63001,,4.11,,18.02,,34.0,
2026/02/22,20:30,0.0,-,63001,,4.11,,17.89,,34.0,
2026/02/22,20:40,0.0,-,62976,,0.0,,17.94,,34.0,
2026/02/22,20:50,0.0,-,62976,,0.0,,18.1,,34.0,
2026/02/22,21:00,0.0,-,62976,,0.0,,18.07,,34.0,
2026/02/22,21:10,0.0,-,62951,,2.01,,18.03,,34.0,
2026/02/22,21:20,0.0,-,62951,,2.01,,17.97,,34.0,
2026/02/22,21:30,0.0,-,62926,,0.0,,17.94,,34.0,
2026/02/22,21:40,0.0,-,62926,,0.0,,17.86,,34.0,
2026/02/22,21:50,0.0,-,62926,,0.0,,18.05,,34.0,
2026/02/22,22:00,0.0,-,62901,,6.14,,17.97,,34.0,
2026/02/22,22:10,0.0,-,62901,,6.14,,0.0,,34.0,
2026/02/22,22:20,0.0,-,62901,,6.14,,0.0,,34.0,
2026/02/22,22:30,0.0,-,62901,,6.14,,0.0,,34.0,
2026/02/22,22:40,0.0,-,62901,,6.14,,0.0,,34.0,
2026/02/22,22:50,0.0,-,62901,,6.14,,0.0,,34.0,
2026/02/22,23:00,0.0,-,62901,,6.14,,0.0,,34.0,
2026/02/22,23:10,0.0,-,62901,,6.14,,0.0,,34.0,
2026/02/22,23:20,0.0,-,62901,,6.14,,0.0,,34.0,
2026/02/22,23:30,0.0,-,62901,,6.14,,0.0,,34.0,
2026/02/22,23:40,0.0,-,62901,,6.14,,0.0,,34.0,
2026/02/22,23:50,0.0,-,62901,,6.14,,0.0,,34.0,
2026/02/22,24:00,0.0,-,62901,,6.14,,0.0,,34.0,
2026/02/23,00:10,0.0,-,62901,,6.14,,0.0,,34.0,
2026/02/23,00:20,0.0,-,62901,,6.14,,0.0,,34.0,
2026/02/23,00:30,0.0,-,62901,,6.14,,0.0,,34.0,
